Id;Name;Type;Description;Place;Lat;Long;Link;Date;From;To
108;Evento 108;Nocturna;Detalles e información relevante de Evento 108;Lugar de Evento 108;-12.1087542600566;-76.9732095108419;event;2020-03-01;19;23
109;Evento 109;Feria;Detalles e información relevante de Evento 109;Lugar de Evento 109;-12.0745623704078;-77.0319173158212;event;2020-12-21;23;23
110;Evento 110;Feria;Detalles e información relevante de Evento 110;Lugar de Evento 110;-12.0919434028877;-77.0409048563689;event;2020-12-27;12;17
111;Evento 111;Nocturna;Detalles e información relevante de Evento 111;Lugar de Evento 111;-12.0858331698776;-77.027572838052;event;2020-06-04;11;23
112;Evento 112;Concierto;Detalles e información relevante de Evento 112;Lugar de Evento 112;-12.0834978282357;-77.0232245218538;event;2020-01-26;9;20
113;Evento 113;Concierto;Detalles e información relevante de Evento 113;Lugar de Evento 113;-12.1151212473146;-76.9844709837146;event;2020-01-14;21;23
114;Evento 114;Concierto;Detalles e información relevante de Evento 114;Lugar de Evento 114;-12.0821205494359;-76.9659225497171;event;2020-03-06;1;21
115;Evento 115;Nocturna;Detalles e información relevante de Evento 115;Lugar de Evento 115;-12.072289016978;-77.0473025633628;event;2020-09-23;20;22
116;Evento 116;Feria;Detalles e información relevante de Evento 116;Lugar de Evento 116;-12.0872971043313;-77.0123940103968;event;2020-04-16;11;16
117;Evento 117;Nocturna;Detalles e información relevante de Evento 117;Lugar de Evento 117;-12.0898488501923;-77.0318293707605;event;2020-10-05;22;23
118;Evento 118;Feria;Detalles e información relevante de Evento 118;Lugar de Evento 118;-12.114389838668;-76.9740293095871;event;2020-03-18;4;7
119;Evento 119;Concierto;Detalles e información relevante de Evento 119;Lugar de Evento 119;-12.1162220917572;-77.0371937624759;event;2020-10-06;18;20
120;Evento 120;Concierto;Detalles e información relevante de Evento 120;Lugar de Evento 120;-12.098669559823;-77.0384043850185;event;2020-08-27;1;6
121;Evento 121;Nocturna;Detalles e información relevante de Evento 121;Lugar de Evento 121;-12.1110367058754;-77.0215539041623;event;2020-07-18;4;21
122;Evento 122;Feria;Detalles e información relevante de Evento 122;Lugar de Evento 122;-12.0694384503038;-76.9822291246372;event;2020-06-20;23;23
123;Evento 123;Nocturna;Detalles e información relevante de Evento 123;Lugar de Evento 123;-12.0669014702821;-77.0419505868275;event;2020-01-06;5;17
124;Evento 124;Concierto;Detalles e información relevante de Evento 124;Lugar de Evento 124;-12.1156768606059;-76.9935937333616;event;2020-11-04;4;21
125;Evento 125;Concierto;Detalles e información relevante de Evento 125;Lugar de Evento 125;-12.069754588992;-76.9849839415598;event;2020-08-23;19;20
126;Evento 126;Nocturna;Detalles e información relevante de Evento 126;Lugar de Evento 126;-12.0980828670957;-76.9945821678707;event;2020-04-15;18;18
127;Evento 127;Feria;Detalles e información relevante de Evento 127;Lugar de Evento 127;-12.0857580752292;-76.9962606592146;event;2020-05-07;5;11
128;Evento 128;Nocturna;Detalles e información relevante de Evento 128;Lugar de Evento 128;-12.0881131227899;-77.0020260138728;event;2020-06-23;12;21
129;Evento 129;Feria;Detalles e información relevante de Evento 129;Lugar de Evento 129;-12.110259951367;-77.0107799578213;event;2020-03-27;17;17
130;Evento 130;Feria;Detalles e información relevante de Evento 130;Lugar de Evento 130;-12.0728850604951;-76.992609428571;event;2020-01-17;10;19
131;Evento 131;Nocturna;Detalles e información relevante de Evento 131;Lugar de Evento 131;-12.0853225892927;-77.0367814168055;event;2020-12-23;10;12
132;Evento 132;Feria;Detalles e información relevante de Evento 132;Lugar de Evento 132;-12.0906617090231;-76.9849252809594;event;2020-03-23;11;19
133;Evento 133;Nocturna;Detalles e información relevante de Evento 133;Lugar de Evento 133;-12.1067297162111;-76.9663976082443;event;2020-10-20;15;19
134;Evento 134;Feria;Detalles e información relevante de Evento 134;Lugar de Evento 134;-12.066535188316;-77.0028557419274;event;2020-06-15;4;21
135;Evento 135;Concierto;Detalles e información relevante de Evento 135;Lugar de Evento 135;-12.0728612707858;-77.0327271713086;event;2020-07-21;16;21
136;Evento 136;Nocturna;Detalles e información relevante de Evento 136;Lugar de Evento 136;-12.0824197543865;-76.9707113134354;event;2020-03-07;17;18
137;Evento 137;Nocturna;Detalles e información relevante de Evento 137;Lugar de Evento 137;-12.0765039914156;-76.9668659448673;event;2020-08-01;23;23
138;Evento 138;Concierto;Detalles e información relevante de Evento 138;Lugar de Evento 138;-12.0880196424754;-76.9784493225484;event;2020-09-25;14;20
139;Evento 139;Nocturna;Detalles e información relevante de Evento 139;Lugar de Evento 139;-12.0813605715951;-76.9715066419363;event;2020-07-04;2;22
140;Evento 140;Feria;Detalles e información relevante de Evento 140;Lugar de Evento 140;-12.1163379071341;-77.0191033643464;event;2020-01-05;4;18
141;Evento 141;Concierto;Detalles e información relevante de Evento 141;Lugar de Evento 141;-12.0672495196679;-77.0052248906246;event;2020-02-29;10;22
142;Evento 142;Concierto;Detalles e información relevante de Evento 142;Lugar de Evento 142;-12.080770335209;-76.9696577905906;event;2020-08-05;4;17
143;Evento 143;Concierto;Detalles e información relevante de Evento 143;Lugar de Evento 143;-12.0784726421464;-76.9988804054932;event;2020-10-15;6;6
144;Evento 144;Feria;Detalles e información relevante de Evento 144;Lugar de Evento 144;-12.1099105358827;-76.9929761753546;event;2020-10-23;9;20
145;Evento 145;Nocturna;Detalles e información relevante de Evento 145;Lugar de Evento 145;-12.1078617192029;-77.0149651330452;event;2020-03-22;17;21
146;Evento 146;Concierto;Detalles e información relevante de Evento 146;Lugar de Evento 146;-12.0943930376919;-76.9988534349792;event;2020-04-28;16;23
147;Evento 147;Nocturna;Detalles e información relevante de Evento 147;Lugar de Evento 147;-12.1028444695118;-77.0508703275168;event;2020-12-03;7;9
148;Evento 148;Feria;Detalles e información relevante de Evento 148;Lugar de Evento 148;-12.0928351261252;-77.0063823539679;event;2020-03-15;22;22
149;Evento 149;Feria;Detalles e información relevante de Evento 149;Lugar de Evento 149;-12.1024760812969;-77.0153213349483;event;2020-07-05;6;14
150;Evento 150;Concierto;Detalles e información relevante de Evento 150;Lugar de Evento 150;-12.1019330069129;-77.0165535188145;event;2020-11-02;19;23
151;Evento 151;Feria;Detalles e información relevante de Evento 151;Lugar de Evento 151;-12.1027143057033;-77.0152571332922;event;2020-04-04;9;16
152;Evento 152;Nocturna;Detalles e información relevante de Evento 152;Lugar de Evento 152;-12.0818441591934;-76.9921457442398;event;2020-09-20;16;20
153;Evento 153;Feria;Detalles e información relevante de Evento 153;Lugar de Evento 153;-12.1146439432881;-77.0019173376502;event;2020-07-03;7;11
154;Evento 154;Feria;Detalles e información relevante de Evento 154;Lugar de Evento 154;-12.0883398637736;-77.0316415222152;event;2020-11-10;11;12
155;Evento 155;Concierto;Detalles e información relevante de Evento 155;Lugar de Evento 155;-12.1161307557478;-77.0305248672833;event;2020-02-25;19;23
156;Evento 156;Feria;Detalles e información relevante de Evento 156;Lugar de Evento 156;-12.0789249374804;-76.9798187346416;event;2020-09-12;22;22
157;Evento 157;Nocturna;Detalles e información relevante de Evento 157;Lugar de Evento 157;-12.1080207674707;-77.0146668984548;event;2020-09-03;6;6
158;Evento 158;Feria;Detalles e información relevante de Evento 158;Lugar de Evento 158;-12.0828480525245;-77.0145717488005;event;2020-01-23;9;22
159;Evento 159;Nocturna;Detalles e información relevante de Evento 159;Lugar de Evento 159;-12.114595192175;-77.0357738086763;event;2020-03-26;22;23
160;Evento 160;Concierto;Detalles e información relevante de Evento 160;Lugar de Evento 160;-12.0674526933089;-77.0371708033542;event;2020-12-09;4;5
161;Evento 161;Concierto;Detalles e información relevante de Evento 161;Lugar de Evento 161;-12.0718052503876;-76.9960863142429;event;2020-12-23;17;20
162;Evento 162;Feria;Detalles e información relevante de Evento 162;Lugar de Evento 162;-12.0658766929888;-76.9837351520745;event;2020-07-20;1;8
163;Evento 163;Concierto;Detalles e información relevante de Evento 163;Lugar de Evento 163;-12.0706340285346;-76.9826211065756;event;2020-10-11;6;13
164;Evento 164;Feria;Detalles e información relevante de Evento 164;Lugar de Evento 164;-12.0983068603555;-77.0353938367346;event;2020-01-07;15;16
165;Evento 165;Nocturna;Detalles e información relevante de Evento 165;Lugar de Evento 165;-12.1004391738876;-76.9763770061789;event;2020-11-02;13;23
166;Evento 166;Feria;Detalles e información relevante de Evento 166;Lugar de Evento 166;-12.0982009413848;-77.0212325406225;event;2020-08-25;2;9
167;Evento 167;Feria;Detalles e información relevante de Evento 167;Lugar de Evento 167;-12.0795744453085;-77.0351515924201;event;2020-04-20;19;21
168;Evento 168;Concierto;Detalles e información relevante de Evento 168;Lugar de Evento 168;-12.0861187982447;-77.0136779772298;event;2020-12-30;21;22
169;Evento 169;Concierto;Detalles e información relevante de Evento 169;Lugar de Evento 169;-12.1073533727023;-76.9801889082814;event;2020-06-11;10;10
170;Evento 170;Feria;Detalles e información relevante de Evento 170;Lugar de Evento 170;-12.1150617029081;-77.0459358166896;event;2020-07-09;22;23
171;Evento 171;Concierto;Detalles e información relevante de Evento 171;Lugar de Evento 171;-12.0675298590739;-77.0504433240705;event;2020-02-26;3;23
172;Evento 172;Concierto;Detalles e información relevante de Evento 172;Lugar de Evento 172;-12.0892904175599;-77.0200340092361;event;2020-10-15;13;21
173;Evento 173;Concierto;Detalles e información relevante de Evento 173;Lugar de Evento 173;-12.0955530248317;-76.976553788343;event;2020-05-30;22;23
174;Evento 174;Feria;Detalles e información relevante de Evento 174;Lugar de Evento 174;-12.0698953890467;-76.9665034960141;event;2020-06-07;0;7
175;Evento 175;Concierto;Detalles e información relevante de Evento 175;Lugar de Evento 175;-12.0742685228588;-76.966614238331;event;2020-11-02;14;17
176;Evento 176;Concierto;Detalles e información relevante de Evento 176;Lugar de Evento 176;-12.1110226527237;-77.0494211271354;event;2020-05-07;14;21
177;Evento 177;Concierto;Detalles e información relevante de Evento 177;Lugar de Evento 177;-12.1009087340544;-77.0224761777384;event;2020-03-03;23;23
178;Evento 178;Concierto;Detalles e información relevante de Evento 178;Lugar de Evento 178;-12.0968143704115;-77.0185778139783;event;2020-11-11;14;18
179;Evento 179;Nocturna;Detalles e información relevante de Evento 179;Lugar de Evento 179;-12.0735405294486;-77.042952463733;event;2020-04-14;19;19
180;Evento 180;Concierto;Detalles e información relevante de Evento 180;Lugar de Evento 180;-12.0650603716516;-76.9679121761458;event;2020-01-07;19;22
181;Evento 181;Feria;Detalles e información relevante de Evento 181;Lugar de Evento 181;-12.0701755294206;-76.9736734864654;event;2020-12-11;3;10
182;Evento 182;Feria;Detalles e información relevante de Evento 182;Lugar de Evento 182;-12.0673971018479;-76.9923427490817;event;2020-11-21;7;15
183;Evento 183;Concierto;Detalles e información relevante de Evento 183;Lugar de Evento 183;-12.0670350533286;-76.9953617818562;event;2020-11-09;3;3
184;Evento 184;Nocturna;Detalles e información relevante de Evento 184;Lugar de Evento 184;-12.0890625888518;-76.9989605099077;event;2020-02-25;23;23
185;Evento 185;Feria;Detalles e información relevante de Evento 185;Lugar de Evento 185;-12.0888065417133;-76.975267688064;event;2020-03-24;7;20
186;Evento 186;Concierto;Detalles e información relevante de Evento 186;Lugar de Evento 186;-12.0935770251145;-77.0181158703759;event;2020-11-20;17;20
187;Evento 187;Feria;Detalles e información relevante de Evento 187;Lugar de Evento 187;-12.0714654378976;-77.0288413617418;event;2020-06-24;17;21
188;Evento 188;Concierto;Detalles e información relevante de Evento 188;Lugar de Evento 188;-12.1128675842224;-76.9657750787383;event;2020-06-28;15;22
189;Evento 189;Nocturna;Detalles e información relevante de Evento 189;Lugar de Evento 189;-12.1120845782113;-76.9746221365607;event;2020-02-17;20;20
190;Evento 190;Feria;Detalles e información relevante de Evento 190;Lugar de Evento 190;-12.108230436771;-76.968721353943;event;2020-03-12;15;21
191;Evento 191;Feria;Detalles e información relevante de Evento 191;Lugar de Evento 191;-12.0824946208855;-76.9809715015361;event;2020-12-25;12;15
192;Evento 192;Nocturna;Detalles e información relevante de Evento 192;Lugar de Evento 192;-12.0927374173962;-76.9699164858544;event;2020-05-25;18;23
193;Evento 193;Feria;Detalles e información relevante de Evento 193;Lugar de Evento 193;-12.08698277122;-76.9705795193248;event;2020-01-30;8;12
194;Evento 194;Nocturna;Detalles e información relevante de Evento 194;Lugar de Evento 194;-12.1098585157453;-77.0021999257009;event;2020-02-25;17;21
195;Evento 195;Nocturna;Detalles e información relevante de Evento 195;Lugar de Evento 195;-12.0791647518154;-77.0090557536614;event;2020-09-08;0;2
196;Evento 196;Nocturna;Detalles e información relevante de Evento 196;Lugar de Evento 196;-12.106537137805;-77.0489917486202;event;2020-10-31;9;14
