Type;Lat;Long;Intensity;Date;From;To
Issue;-12.0781494317905;-76.992531827405;5;2020-07-26;2;20
Issue;-12.0846964383721;-76.967814200283;3;2020-01-05;20;22
Density;-12.1031180139885;-76.9932646292285;1;2020-06-18;15;22
Density;-12.1089194872114;-76.9747431246497;1;2020-02-14;8;9
Density;-12.1030306985591;-77.0308646583412;2;2020-01-06;12;20
Density;-12.075088823867;-76.9672719164363;4;2020-11-26;23;23
Density;-12.0688412184019;-77.009638018942;1;2020-11-13;11;19
Issue;-12.1132066440036;-77.0422258656036;3;2020-01-28;18;20
Density;-12.0844162126826;-76.9660652873606;3;2020-09-09;19;22
Density;-12.0891774428269;-76.9928852861391;1;2020-08-16;8;15
Issue;-12.0647610709767;-76.9678683100514;1;2020-10-11;23;23
Issue;-12.1003635080412;-77.0358812446599;4;2020-02-29;8;20
Density;-12.0878280445079;-77.002682872528;5;2020-08-03;22;23
Issue;-12.075820995208;-76.9679348938665;4;2020-07-12;10;11
Density;-12.0700999828228;-77.0473460989724;2;2020-10-21;13;19
Issue;-12.0655288730074;-77.0377230229682;4;2020-12-05;17;23
Issue;-12.0948054733769;-77.0455754894913;3;2020-04-19;21;23
Density;-12.1013094243241;-76.9836151157421;4;2020-09-13;19;19
Issue;-12.072272950196;-77.0497778850467;2;2020-04-17;3;13
Density;-12.0836871146237;-77.0277276915156;1;2020-06-13;1;1
Issue;-12.0826387386749;-76.982466755961;1;2020-06-04;22;22
Density;-12.1116000583148;-77.0197040448527;3;2020-12-02;12;22
Density;-12.0941578921408;-77.0425391069483;4;2020-05-15;0;19
Issue;-12.1025006980002;-77.0155400914222;3;2020-01-31;8;22
Density;-12.0669220898528;-77.0226867404187;5;2020-08-20;18;22
Issue;-12.1096092126224;-77.0074009043841;4;2020-02-14;19;20
Density;-12.0685569755555;-77.0308941635344;4;2020-06-26;19;19
Issue;-12.0797772603183;-76.9835278600894;4;2020-03-30;2;14
Issue;-12.1091180895375;-76.9762582773428;1;2020-02-15;16;16
Density;-12.0715327734344;-76.9971967765216;3;2020-02-14;16;18
Density;-12.0692431125641;-77.0049238013293;2;2020-05-16;9;17
Issue;-12.070496658011;-77.0340519178662;4;2020-01-28;0;6
Density;-12.0686090469255;-76.9937359865823;3;2020-12-22;10;21
Issue;-12.0924019580712;-77.0310422961517;3;2020-05-18;6;8
Density;-12.0992509463899;-76.9738096253689;1;2020-12-21;5;16
Issue;-12.085144719195;-77.0024010215925;4;2020-10-25;7;12
Density;-12.0880413483268;-77.0068134298731;5;2020-10-13;5;8
Density;-12.0939067258228;-77.0280395325793;1;2020-11-10;22;22
Issue;-12.1003438419662;-77.0281344963172;5;2020-02-22;23;23
Density;-12.0764368546573;-77.0079523862387;1;2020-02-20;12;16
Density;-12.0946081151149;-77.0395450435686;1;2020-01-27;20;21
Density;-12.1018042672226;-76.9959525660171;1;2020-11-11;13;19
Issue;-12.0769836236924;-77.0302975382902;2;2020-05-27;12;19
Density;-12.0789636018618;-77.0029911545771;2;2020-04-16;22;23
Issue;-12.0721910133506;-76.9889467821697;2;2020-01-14;4;20
Issue;-12.1021962020259;-76.986402853596;3;2020-07-17;22;23
Issue;-12.0998498191951;-77.0174679635408;3;2020-03-05;7;16
Density;-12.0749923968576;-77.0065438124157;1;2020-07-17;23;23
Issue;-12.0995726135337;-76.9952258977919;4;2020-08-24;18;21
Density;-12.0737057636361;-77.0302844803009;1;2020-01-04;5;7
Issue;-12.0654301095085;-76.9962569314182;3;2020-07-22;8;9
Density;-12.0676458731886;-76.9950958846701;2;2020-06-10;7;7
Density;-12.116191586793;-76.9833995625251;1;2020-06-12;10;10
Density;-12.0991526459814;-76.9879811931035;4;2020-08-12;11;15
Issue;-12.0955790246346;-77.0088836901294;3;2020-08-18;21;21
Density;-12.0902650797702;-76.9876577193976;5;2020-12-12;13;14
Density;-12.1085357730081;-77.00827537852;4;2020-12-21;6;13
Issue;-12.0777067327618;-76.9817633976964;5;2020-12-18;1;21
Density;-12.1060933492932;-77.0161039043724;3;2020-04-15;0;17
Density;-12.112631362328;-76.9916539960074;1;2020-08-01;0;16
Issue;-12.1076093665608;-76.9902013639566;2;2020-04-27;10;19
Issue;-12.1097262837336;-76.9920216584198;3;2020-04-10;7;19
Issue;-12.0792619880162;-77.0122931897127;4;2020-06-23;5;6
Issue;-12.0688445409599;-77.031390853977;5;2020-06-21;12;20
Issue;-12.068940730616;-77.0038403198633;4;2020-11-11;21;22
Issue;-12.0989126437548;-77.0165928964475;5;2020-05-17;19;19
Density;-12.1036260566016;-76.9955613721168;3;2020-11-08;8;22
Density;-12.0848285227785;-76.9832880494101;5;2020-07-21;20;20
Issue;-12.0793052860952;-76.9816319715444;5;2020-12-12;18;23
Density;-12.1096588062539;-77.0341743680771;4;2020-05-28;7;21
Density;-12.0741296802467;-76.983725021853;2;2020-01-09;9;9
Density;-12.1157111616422;-77.0217903564095;4;2020-02-17;18;22
Density;-12.0840032562273;-77.0213268875488;4;2020-11-15;17;19
Density;-12.0800844791478;-77.0231165368681;5;2020-05-15;14;16
Issue;-12.0889575668079;-77.0106618234637;4;2020-05-19;8;10
Density;-12.1124085705393;-77.0402819035968;5;2020-12-17;17;21
Density;-12.113455949087;-77.0128759720841;2;2020-06-13;3;17
Issue;-12.076467244672;-77.0404490410876;4;2020-03-02;20;20
Density;-12.1023510342548;-76.9715892705161;5;2020-01-20;9;13
Density;-12.0772646898655;-77.0364384536405;2;2020-01-19;1;16
Issue;-12.0991505774807;-77.0477714057565;3;2020-02-22;20;22
Density;-12.0723831870634;-76.9765904022701;5;2020-12-03;14;22
Issue;-12.0790017930981;-76.9791296847662;3;2020-11-04;19;22
Density;-12.1108942550358;-76.9967218406813;2;2020-05-20;9;18
Density;-12.0894100815272;-76.9810616041859;1;2020-09-01;15;15
Density;-12.0649590061743;-77.0476773559816;5;2020-05-07;19;21
Density;-12.0677886834813;-76.9702402484444;4;2020-08-01;0;1
Density;-12.0782192605039;-76.9689980445976;3;2020-10-23;22;23
Issue;-12.1070077263862;-76.9918012152412;3;2020-11-14;20;23
Issue;-12.0812606391246;-77.0186690603806;4;2020-08-30;13;21
Issue;-12.0767295933583;-77.0320309075077;1;2020-04-14;6;7
Density;-12.0791875589688;-77.0291238650856;1;2020-12-21;17;19
Density;-12.0758225652205;-77.0463342451534;3;2020-11-12;4;18
Density;-12.1141048825104;-77.0297451110725;2;2020-10-17;22;23
Issue;-12.0782156674659;-76.9839023317024;3;2020-09-06;9;18
Issue;-12.0801232946519;-76.9883768567002;2;2020-11-15;20;23
Density;-12.0717877051729;-77.0468270463302;3;2020-09-14;5;11
Issue;-12.0677503070773;-77.0276161363191;3;2020-06-08;16;17
Issue;-12.0826664653596;-76.9981499938603;1;2020-03-09;10;19
Issue;-12.0890181779464;-77.0464463165157;2;2020-02-19;13;19
Issue;-12.0734750699601;-77.0473932822181;2;2020-05-03;4;16
Issue;-12.0822591532088;-77.0247672375028;3;2020-02-03;20;20
Density;-12.0956634897575;-77.0316042821082;2;2020-06-01;18;21
Issue;-12.1040182736869;-77.0333176898868;5;2020-12-04;12;13
Issue;-12.077781842336;-77.0387123149517;1;2020-05-14;22;22
Density;-12.0701980964975;-77.0396498380961;2;2020-10-26;21;22
Density;-12.065731530453;-77.0065917541317;3;2020-01-05;1;4
Issue;-12.0744257822625;-77.0453649202871;5;2020-11-18;2;14
Density;-12.0953384048394;-77.0338770259212;5;2020-10-01;0;23
Issue;-12.0904138051963;-77.0113367135738;1;2020-02-15;10;23
Density;-12.0798179170823;-76.9734132262625;5;2020-10-02;14;16
Issue;-12.0774974671976;-77.0361979760164;2;2020-04-22;3;10
Density;-12.0745171364606;-77.0243684148712;2;2020-07-25;2;18
Density;-12.1012568452417;-77.001002571908;1;2020-01-25;20;22
Density;-12.1110732294967;-77.0514512663913;5;2020-10-06;12;22
Issue;-12.1060290410344;-77.0256606606462;3;2020-10-10;5;23
Issue;-12.1011779188024;-76.9943376672212;3;2020-10-28;11;22
Issue;-12.0707407506157;-77.0129877624302;4;2020-01-01;9;21
Density;-12.1040463737807;-77.0172920920646;5;2020-01-26;23;23
Density;-12.0778380363305;-77.0122524614375;3;2020-03-17;23;23
Issue;-12.0718773962499;-77.0447633042065;4;2020-05-16;19;20
Issue;-12.0737167972603;-76.991378315982;5;2020-10-21;5;11
Density;-12.0782297962611;-76.9882423262316;2;2020-06-10;13;18
Issue;-12.0886479791706;-76.9805870654721;4;2020-04-10;11;14
Density;-12.0759859447806;-77.0500311837771;2;2020-10-05;5;21
Issue;-12.0729714413701;-77.0306728021731;5;2020-12-16;2;20
Issue;-12.078177559372;-77.0187969076317;1;2020-05-14;5;20
Issue;-12.0687902369042;-77.0221513467547;2;2020-07-15;5;11
Issue;-12.0715488529107;-77.0213347578128;5;2020-12-16;0;22
Density;-12.0876298422324;-77.0212509731398;2;2020-07-12;21;23
Issue;-12.0876343353634;-77.0300140710234;5;2020-03-11;12;15
Density;-12.0720080414298;-76.987107334055;3;2020-01-16;10;20
Density;-12.0960239102655;-77.0235545958194;2;2020-09-13;2;15
Density;-12.0955750255413;-76.9954003969981;4;2020-04-21;21;22
Density;-12.0810236992201;-76.9690086235039;4;2020-10-24;23;23
Issue;-12.1052302344741;-77.050273535855;5;2020-10-26;3;18
Issue;-12.0805869991669;-77.0491705112571;5;2020-08-14;13;16
Issue;-12.06535645363;-76.9789014777305;5;2020-06-22;6;14
Issue;-12.0847427572466;-77.0203758260859;5;2020-03-02;19;20
Density;-12.0983342044011;-77.0430316159058;2;2020-01-26;1;13
Issue;-12.0871214371287;-77.0180987363081;1;2020-02-21;17;19
Density;-12.1122914696576;-77.0237669071631;5;2020-04-16;12;12
Issue;-12.1110318023145;-77.0239691934123;4;2020-05-05;11;13
Density;-12.1113893802634;-76.9692028076013;1;2020-05-04;2;3
Density;-12.1100939773048;-77.0207934818725;1;2020-08-06;17;21
Density;-12.1049686780666;-77.0249240905674;3;2020-04-20;10;23
Issue;-12.1071252469729;-77.0417074830703;3;2020-11-16;6;6
Issue;-12.0767226741874;-76.9946403219622;4;2020-07-12;13;19
Density;-12.1063248672898;-77.0151006994574;4;2020-02-09;22;23
Issue;-12.0733496418682;-76.9758113298757;3;2020-02-04;22;22
Density;-12.1079949079096;-77.0233174846204;3;2020-06-02;16;21
Density;-12.0917536767506;-76.9876710606896;5;2020-04-07;9;13
Density;-12.0980836079001;-77.0386581838105;4;2020-06-20;17;17
Issue;-12.0897092047171;-77.0115074645643;3;2020-11-18;0;4
Issue;-12.0672776977401;-77.0045560844183;2;2020-08-15;18;21
Density;-12.0851501688771;-77.0129836097726;3;2020-09-24;19;21
Issue;-12.0777883969832;-76.9955607745453;2;2020-05-17;13;21
Issue;-12.0967920297676;-77.0007230457758;2;2020-07-02;19;20
Density;-12.0877306542528;-76.9730490927613;4;2020-10-21;4;22
Density;-12.0807371594253;-77.0262460064635;3;2020-04-07;17;22
Density;-12.0899981013652;-77.0341725886073;3;2020-06-26;6;12
Density;-12.0803673437686;-77.0386345380014;3;2020-01-22;6;14
Issue;-12.1109124412941;-77.0157468649769;4;2020-02-21;0;9
Issue;-12.0961029690113;-77.0423600461007;2;2020-10-16;6;21
Density;-12.1078629016874;-77.0350197213871;2;2020-03-16;10;17
Issue;-12.0952931860641;-77.0361765011951;2;2020-12-04;8;21
Issue;-12.1099350946553;-77.034644006466;4;2020-09-09;10;14
Density;-12.1160067106183;-77.02537694642;4;2020-12-13;1;12
Issue;-12.1101890925829;-76.9822668339038;2;2020-12-04;0;7
Density;-12.0962089734828;-77.0426110749899;2;2020-03-28;12;13
Density;-12.0976426040292;-77.0217003914686;1;2020-08-08;8;13
Density;-12.0958808565429;-77.0373473806144;3;2020-02-08;5;5
Issue;-12.0890790296987;-76.9700639960991;3;2020-05-24;2;12
Issue;-12.0928964893583;-77.0283614191207;4;2020-03-14;21;21
Density;-12.0732862159189;-76.9907637839225;1;2020-10-21;0;21
Density;-12.0797675581988;-76.9893542446722;5;2020-04-02;22;23
Density;-12.1161089616675;-76.9683302536642;3;2020-07-23;20;21
Issue;-12.1112809741643;-76.9724234901046;5;2020-05-14;10;12
Issue;-12.1110721423814;-77.0494471252331;1;2020-03-17;2;2
Density;-12.0917185730357;-76.9960343498549;5;2020-06-22;11;14
Density;-12.0762801949793;-77.023406072135;5;2020-11-20;14;21
Issue;-12.1074094755767;-77.0363508503133;3;2020-03-14;20;20
Issue;-12.0832752883348;-77.0367400413472;3;2020-04-24;23;23
Density;-12.0752447272601;-76.9725707481351;1;2020-07-20;17;19
Density;-12.0707658110266;-76.9818414566968;5;2020-07-04;1;17
Issue;-12.0834967763221;-76.9760191461749;2;2020-01-06;14;21
Density;-12.1147412852494;-76.9710699334086;2;2020-01-26;18;20
Density;-12.0842497752903;-76.9676024463196;3;2020-11-28;17;17
Density;-12.1051610686044;-77.0145934144218;1;2020-10-27;8;14
Density;-12.0706927053447;-76.9679781564503;2;2020-05-07;21;23
Issue;-12.1024308192336;-76.992584835347;4;2020-02-29;2;13
Density;-12.0745275811611;-76.9746808333465;3;2020-12-04;18;20
Issue;-12.091921200876;-76.9951798347795;3;2020-09-20;0;12
Density;-12.0939284322882;-77.0426445843701;1;2020-08-24;16;17
Issue;-12.1025535989007;-76.9911002864043;2;2020-05-25;5;10
Density;-12.0668645127812;-77.0064031036597;1;2020-09-17;5;15
Density;-12.1117740857551;-77.0328691903087;3;2020-05-19;15;20
Issue;-12.0954383954842;-77.0281253413356;4;2020-02-20;1;8
Density;-12.101735458848;-77.0032614590966;5;2020-10-19;2;21
Density;-12.0823317000468;-77.0112191160345;3;2020-01-06;21;21
Density;-12.1124944506374;-76.9892553827721;2;2020-07-13;22;22
Density;-12.1134750627642;-77.0324267435971;2;2020-10-16;19;20
Issue;-12.0796741552352;-76.9835237057777;4;2020-11-28;5;20
Density;-12.0937907805797;-77.016931995496;1;2020-05-04;14;22
Density;-12.080873861119;-76.9959493961493;3;2020-11-11;15;22
Density;-12.0747791844932;-77.051712882597;3;2020-08-17;5;9
Issue;-12.082634892385;-76.9749723145454;5;2020-11-20;13;22
Issue;-12.1101810727164;-77.0162615021163;5;2020-05-04;20;21
Density;-12.1089564180828;-76.9816127694171;1;2020-04-07;12;23
Issue;-12.0785964147797;-76.9945896619201;2;2020-08-15;0;9
Issue;-12.0975067866017;-76.9852878904175;3;2020-09-08;21;23
Issue;-12.0850936935801;-76.9795885303764;1;2020-09-10;1;16
Density;-12.0964364261328;-77.0313190881885;2;2020-12-30;13;15
Issue;-12.1105343383593;-76.9883940862873;3;2020-02-11;0;11
Issue;-12.0673922345731;-77.0398108877711;5;2020-07-22;4;5
Issue;-12.0795297242685;-76.9684217063604;3;2020-10-26;18;20
Density;-12.0768008260466;-77.0409019144589;5;2020-03-20;2;10
Issue;-12.1040333304942;-76.9849385890001;5;2020-04-24;17;21
Density;-12.0845684421227;-77.0055638827842;4;2020-01-17;10;17
Density;-12.0716803370312;-77.0326429713508;1;2020-12-11;9;17
Issue;-12.1007627406401;-77.0304598474496;4;2020-05-27;14;22
Density;-12.0647752811016;-76.9878160480733;5;2020-07-06;6;13
Issue;-12.0916049435332;-77.0312769273382;4;2020-02-25;11;12
Density;-12.0820459780805;-76.9687122023201;4;2020-02-21;5;9
Density;-12.0681440838039;-77.0241321448551;2;2020-07-08;22;22
Issue;-12.0768830826205;-76.9991643005731;5;2020-06-06;4;15
Density;-12.1099829669939;-77.0372154636843;2;2020-09-24;5;8
Issue;-12.0839872998294;-76.9747884124906;2;2020-05-19;0;16
Density;-12.1111058539317;-76.9955361259;4;2020-01-03;11;11
Density;-12.0841288136686;-77.013811167191;4;2020-01-27;0;6
Issue;-12.0659525904031;-76.9824573722599;2;2020-05-13;13;23
Density;-12.0680585395611;-77.0115207324536;4;2020-04-23;21;22
Density;-12.0651908820246;-76.9959044816125;3;2020-12-02;0;23
Issue;-12.0726800267829;-77.0358831657062;1;2020-08-01;2;21
Density;-12.1164676250087;-76.9695278749544;1;2020-02-15;13;17
Density;-12.0844656645374;-77.0411641911931;3;2020-03-04;21;22
Density;-12.0965392885094;-77.0383400972977;4;2020-06-08;14;19
Issue;-12.1015220691662;-76.9726074814076;2;2020-04-07;9;19
Density;-12.1020875446268;-76.9915750515094;4;2020-10-27;14;16
Density;-12.0844104026595;-76.9805969147957;4;2020-08-08;3;13
Density;-12.0897681462419;-76.994252432729;5;2020-01-13;1;9
Density;-12.092827869498;-76.9843071950235;1;2020-02-20;2;5
Issue;-12.1075060698956;-77.0452316189932;2;2020-03-09;3;9
Density;-12.0847288390268;-76.9748020775603;1;2020-11-04;3;20
Density;-12.0783065191817;-76.9747890215738;1;2020-04-05;20;23
Density;-12.1047982227343;-76.9891507340061;2;2020-08-18;12;16
Density;-12.0993937691142;-77.0003649706661;3;2020-10-11;17;23
Density;-12.0693075559103;-77.014275678157;3;2020-09-02;10;16
Density;-12.0997027953926;-77.0150944099808;2;2020-03-18;15;19
Density;-12.0750537475226;-76.9924019985302;5;2020-03-13;16;18
Issue;-12.099874063892;-77.0243489389836;5;2020-11-01;3;12
Issue;-12.0681458703353;-77.0419391166837;1;2020-06-02;22;22
Density;-12.0987209642914;-77.0027512037768;3;2020-08-20;21;21
Density;-12.1068322699317;-77.0194036714714;2;2020-07-06;0;1
Density;-12.0896515380989;-76.9723912008049;5;2020-09-13;4;19
Density;-12.065018055823;-77.0194954749682;3;2020-02-03;22;23
Issue;-12.0869833290826;-76.9817628907497;1;2020-09-08;11;20
Issue;-12.0807012743108;-77.0055032684421;5;2020-08-09;15;23
Density;-12.0760565236744;-77.006555933286;1;2020-02-14;6;10
Density;-12.0895651351504;-77.0111904365431;3;2020-12-31;16;22
Issue;-12.0848346050246;-76.9701989359214;5;2020-11-25;9;21
Issue;-12.0930456413275;-76.9956071287477;1;2020-04-25;9;16
Issue;-12.0831099501827;-77.0032862132411;3;2020-05-08;8;15
Density;-12.074359653754;-76.9760007525285;4;2020-12-09;7;9
Issue;-12.0929546339478;-76.991824620675;2;2020-12-28;7;19
Issue;-12.1010254895075;-76.9934890068813;5;2020-12-07;1;16
Density;-12.102823635926;-77.0034349663597;3;2020-03-05;16;22
Issue;-12.0904632082729;-77.0284873867987;3;2020-04-21;18;18
Density;-12.0741194109797;-76.9678167786706;1;2020-09-28;23;23
Density;-12.0886779162046;-76.9839253086267;5;2020-12-25;16;21
Issue;-12.110252605965;-77.0193517453521;2;2020-05-24;6;7
Density;-12.0722521207624;-76.9896169485697;4;2020-05-26;16;21
Density;-12.1013148311758;-76.9675621966278;5;2020-10-14;11;21
Issue;-12.0951846775319;-76.9987438721695;3;2020-03-24;20;20
Density;-12.0751460953914;-77.0390023347141;3;2020-04-29;23;23
Issue;-12.1143240198767;-77.0134443213085;4;2020-03-19;12;23
Issue;-12.0862564418777;-77.0425898460715;2;2020-01-22;6;6
Density;-12.0757705665812;-77.044668313186;5;2020-12-06;14;17
Density;-12.1111056824105;-77.0348395181413;4;2020-04-10;11;18
Density;-12.0848441004772;-77.0178438132739;5;2020-01-11;15;18
Issue;-12.1134005011775;-77.0039051523768;3;2020-03-01;13;18
Density;-12.0759565738257;-77.0338836856119;5;2020-11-01;23;23
Density;-12.0973395022992;-77.0379823095818;5;2020-03-31;15;23
Issue;-12.0813702677705;-77.0007067359881;3;2020-05-02;23;23
Density;-12.0764289862987;-77.0471949858473;2;2020-09-08;13;18
Density;-12.1135814197549;-76.9913377549323;1;2020-12-31;5;12
Density;-12.0837512985349;-77.0365797141484;1;2020-06-29;23;23
Issue;-12.1020127068205;-76.9763264162739;5;2020-10-25;3;16
Issue;-12.0773529399849;-77.0468638353649;1;2020-07-26;15;16
Density;-12.1094422291752;-76.9895719485572;1;2020-09-15;2;23
Density;-12.0748780195672;-77.0038160411897;2;2020-03-02;17;20
Density;-12.0893508645468;-76.9830995351819;3;2020-02-14;1;17
Density;-12.1064528305731;-77.0314981717448;5;2020-10-21;5;17
Issue;-12.1111417422201;-77.0216799999812;3;2020-08-16;1;14
Issue;-12.1078077295448;-76.9880459577421;1;2020-12-05;13;15
Density;-12.1152702822429;-76.9792527995621;3;2020-11-13;19;22
Density;-12.067368820788;-77.0450673720271;2;2020-07-19;14;20
Issue;-12.069728178241;-76.9716526276241;2;2020-04-03;13;20
Density;-12.0695942711695;-77.006879364258;4;2020-05-14;1;9
Issue;-12.065490933185;-77.0499989156339;5;2020-08-17;19;21
Issue;-12.0934221486575;-77.0302990883002;1;2020-06-26;21;21
Density;-12.1155675190035;-76.9915752889912;1;2020-04-29;22;23
Density;-12.0652789582965;-77.0068225485359;2;2020-12-29;16;20
Density;-12.0717030194626;-77.0426027811073;3;2020-11-02;15;21
Issue;-12.071851037852;-77.0228647906582;3;2020-09-03;16;20
Density;-12.1127541552136;-77.0188793856917;5;2020-08-05;16;21
Issue;-12.1152411061462;-76.974601609709;2;2020-05-15;12;14
Issue;-12.0723430694827;-77.0428753333749;1;2020-09-09;11;12
Issue;-12.0948718858048;-76.9943543069299;2;2020-06-16;9;9
Issue;-12.0898139553256;-76.9685590118469;4;2020-05-18;7;13
Density;-12.0704386641247;-77.0328680075049;4;2020-10-31;18;20
Density;-12.0984185430901;-77.014244724734;2;2020-02-09;20;21
Issue;-12.0804429022261;-77.0389784144792;2;2020-03-05;5;5
Issue;-12.1123901859455;-77.0460679274652;4;2020-03-08;22;23
Density;-12.0973358990131;-77.0239571786238;5;2020-07-12;19;23
Issue;-12.093950487515;-77.051460889182;1;2020-11-07;23;23
Density;-12.0811667545765;-77.0402023979872;2;2020-08-16;20;21
Density;-12.1029343500156;-77.0168166428611;4;2020-09-02;14;18
Issue;-12.0892317379503;-77.002064167611;5;2020-02-06;17;20
Issue;-12.1026143574213;-76.9817690300272;4;2020-09-21;2;11
Density;-12.0669435132108;-77.0066319814514;4;2020-04-10;15;22
Issue;-12.069764485698;-77.0263177249259;4;2020-04-30;1;13
Issue;-12.1164997460613;-77.0171876942424;1;2020-09-23;15;22
Density;-12.0907116400052;-77.0429526183446;3;2020-11-10;4;21
Issue;-12.0666111571774;-77.0033974285562;3;2020-09-01;14;16
Issue;-12.1050422580515;-76.9931673818318;1;2020-05-02;12;15
Density;-12.1012937890929;-77.0292941190113;1;2020-10-28;17;18
Density;-12.1066973358784;-77.0473144875335;5;2020-06-20;10;15
Density;-12.0766924063351;-77.0020012502123;4;2020-01-27;11;13
Density;-12.1038903107633;-76.9899885001946;2;2020-01-01;13;21
Density;-12.0966353704819;-76.9948943689075;1;2020-10-17;2;8
Density;-12.0847107812362;-77.0352452219338;3;2020-02-04;5;19
Issue;-12.1095062704988;-77.0142187739659;5;2020-04-25;22;22
Density;-12.092845654413;-77.0052005205692;1;2020-01-18;1;23
Issue;-12.0769388044764;-76.9715125096401;4;2020-05-04;23;23
Issue;-12.1110321362068;-77.0206874241939;3;2020-03-30;14;18
Issue;-12.0892563476028;-77.0462446925032;3;2020-02-21;0;6
Density;-12.0803740492358;-77.0346534299261;3;2020-02-29;15;21
Issue;-12.0790834907011;-77.0052093994789;3;2020-09-18;17;18
Density;-12.0797538789856;-76.9886110217217;1;2020-04-21;15;20
Density;-12.0905771809354;-76.9973748944308;5;2020-07-03;0;5
Density;-12.0660548381024;-77.0154475824163;2;2020-12-26;11;17
Density;-12.0864885400281;-77.0224011549013;4;2020-10-20;0;16
Issue;-12.1116394356037;-76.9978332621116;1;2020-09-16;23;23
Density;-12.1092068006143;-77.0469921288778;5;2020-06-27;21;21
Issue;-12.0766122398752;-77.0154478601009;2;2020-11-07;18;20
